experiment,pdf_count,pdf_name,pdf_pages,old_txt,old_txt_chars,old_txt_pua,old_txt_other,old_txt_replace,single_char_line_ratio,old_txt_sections,headers_footers,toc_pages,empty_pages,scanned_suspect,needs_manual_review,notes
exp39,1,F-H实验（实验指导）.pdf,9,True,3719,15,0,0,0.0,参考资料、实验仪器、实验内容、实验原理、实验报告、实验目的、注意事项,,,,False,True,
exp4,1,密度的测量B（实验指导）.pdf,11,True,5865,61,0,0,0.029,参考资料、实验原理、实验装置,,,,False,True,
exp40,1,测量金属丝的杨氏模量及泊松比（实验指导）.pdf,7,True,2857,24,0,0,0.0171,实验仪器、实验内容、实验原理、注意事项,,,,False,True,
exp41,1,超声光栅（实验指导）.pdf,13,True,8200,6,0,0,0.0,参考资料、实验仪器、实验内容、实验原理、实验目的、实验要求、思考题,物理实验教学中心  大学物理综合实验(13页),,,False,True,
exp42,1,超声定位与形貌成像（实验指导）.pdf,16,True,8195,6,0,0,0.0,参考资料、实验仪器、实验内容、实验原理、实验目的、实验要求、思考题,物理实验教学中心  大学物理综合实验(16页),,,False,False,
exp43,1,刚体转动惯量（实验指导）.pdf,8,True,3377,55,0,0,0.0226,实验仪器、实验内容、实验目的、实验要求,,,,False,True,
exp44,0,,,True,3281,0,0,0,0.0,参考资料、实验内容、实验原理、实验目的、实验装置、思考题,,,,False,True,源文件为 docx，无 PDF，沿用旧提取文本
exp45,1,空气阻尼测定实验（实验指导）.pdf,16,True,7022,20,0,0,0.0154,参考资料、实验仪器、实验原理、实验目的、实验要求、思考题、注意事项,物理实验教学中心  大学物理综合实验(16页),,,False,True,
exp46,1,导热系数（实验指导）.pdf,19,True,10295,140,0,0,0.0019,实验仪器、实验内容、实验原理、实验装置、实验要求、思考题、注意事项,,,,False,True,
exp47,1,接触角仪（实验指导）.pdf,16,True,6808,0,0,0,0.0,实验内容、实验原理、实验目的、实验装置、思考题、注意事项,,,,False,False,
exp48,1,传感器（实验指导）.pdf,8,True,3319,47,0,0,0.015,参考资料、实验仪器、实验原理、实验报告、实验目的、实验要求、思考题,,,,False,True,
exp49,1,电子小制作（实验指导）.pdf,12,True,5611,0,0,0,0.0,参考资料、实验内容、实验原理、实验目的、实验装置、思考题,,,,False,False,
exp5,1,杨氏模量B（实验指导）.pdf,8,True,3912,51,0,0,0.0,参考资料、实验内容、实验原理、实验目的、实验装置、思考题,,,,False,True,
exp50,1,医学物理实验（实验指导）.pdf,22,True,14269,2,0,0,0.0038,实验仪器、实验内容、实验原理、实验目的、思考题、数据处理,,,,False,True,
exp6,1,切变模量（实验指导）.pdf,4,True,1621,58,0,0,0.0294,实验内容、实验原理、思考题,,,,False,True,
exp7,1,固体比热（实验指导）.pdf,11,True,6176,104,0,0,0.0088,实验仪器、实验内容、实验原理、实验目的、思考题、注意事项,,,11,True,True,文本过少页: [11]
exp8,1,匀加速运动B（实验指导）.pdf,13,True,7681,31,0,0,0.0163,实验内容、实验原理、实验要求、思考题,,,,False,True,
exp9,1,声速测量B（实验指导）.pdf,17,True,9776,92,0,0,0.0051,参考资料、实验仪器、实验内容、实验原理、实验目的、实验装置、实验要求、思考题、注意事项,,,,False,True,
